,lat,long,people,weekend_mean,workdays_mean,day_mean,night_mean
0,"(55.655, 55.658]","(37.495, 37.503]",0.0,0.0,0.0,0.0,0.0
1,"(55.655, 55.658]","(37.503, 37.51]",0.0,0.0,0.0,0.0,0.0
2,"(55.655, 55.658]","(37.51, 37.518]",0.0,0.0,0.0,0.0,0.0
3,"(55.655, 55.658]","(37.518, 37.526]",0.0,0.0,0.0,0.0,0.0
4,"(55.655, 55.658]","(37.526, 37.533]",0.0,0.0,0.0,0.0,0.0
5,"(55.655, 55.658]","(37.533, 37.541]",0.0,0.0,0.0,0.0,0.0
6,"(55.655, 55.658]","(37.541, 37.548]",0.0,0.0,0.0,0.0,0.0
7,"(55.655, 55.658]","(37.548, 37.556]",0.0,0.0,0.0,0.0,0.0
8,"(55.655, 55.658]","(37.556, 37.563]",0.0,0.0,0.0,0.0,0.0
9,"(55.655, 55.658]","(37.563, 37.571]",0.0,0.0,0.0,0.0,0.0
10,"(55.655, 55.658]","(37.571, 37.578]",0.0,0.0,0.0,0.0,0.0
11,"(55.655, 55.658]","(37.578, 37.586]",0.0,0.0,0.0,0.0,0.0
12,"(55.655, 55.658]","(37.586, 37.593]",0.0,0.0,0.0,0.0,0.0
13,"(55.655, 55.658]","(37.593, 37.601]",0.0,0.0,0.0,0.0,0.0
14,"(55.655, 55.658]","(37.601, 37.608]",0.0,0.0,0.0,0.0,0.0
15,"(55.655, 55.658]","(37.608, 37.616]",0.0,0.0,0.0,0.0,0.0
16,"(55.655, 55.658]","(37.616, 37.624]",0.0,0.0,0.0,0.0,0.0
17,"(55.655, 55.658]","(37.624, 37.631]",0.0,0.0,0.0,0.0,0.0
18,"(55.655, 55.658]","(37.631, 37.639]",0.0,0.0,0.0,0.0,0.0
19,"(55.655, 55.658]","(37.639, 37.646]",0.0,0.0,0.0,0.0,0.0
20,"(55.655, 55.658]","(37.646, 37.654]",0.0,0.0,0.0,0.0,0.0
21,"(55.655, 55.658]","(37.654, 37.661]",0.0,0.0,0.0,0.0,0.0
22,"(55.655, 55.658]","(37.661, 37.669]",0.0,0.0,0.0,0.0,0.0
23,"(55.655, 55.658]","(37.669, 37.676]",0.0,0.0,0.0,0.0,0.0
24,"(55.655, 55.658]","(37.676, 37.684]",0.0,0.0,0.0,0.0,0.0
25,"(55.655, 55.658]","(37.684, 37.691]",0.0,0.0,0.0,0.0,0.0
26,"(55.655, 55.658]","(37.691, 37.699]",0.0,0.0,0.0,0.0,0.0
27,"(55.655, 55.658]","(37.699, 37.706]",0.0,0.0,0.0,0.0,0.0
28,"(55.655, 55.658]","(37.706, 37.714]",0.0,0.0,0.0,0.0,0.0
29,"(55.655, 55.658]","(37.714, 37.722]",0.0,0.0,0.0,0.0,0.0
30,"(55.655, 55.658]","(37.722, 37.729]",0.0,0.0,0.0,0.0,0.0
31,"(55.655, 55.658]","(37.729, 37.737]",0.0,0.0,0.0,0.0,0.0
32,"(55.655, 55.658]","(37.737, 37.744]",0.0,0.0,0.0,0.0,0.0
33,"(55.655, 55.658]","(37.744, 37.752]",0.0,0.0,0.0,0.0,0.0
34,"(55.655, 55.658]","(37.752, 37.759]",16.043583758220983,14.712580194079328,16.575985183877645,15.734119761311682,16.97197574894887
35,"(55.655, 55.658]","(37.759, 37.767]",0.0,0.0,0.0,0.0,0.0
36,"(55.658, 55.661]","(37.495, 37.503]",0.0,0.0,0.0,0.0,0.0
37,"(55.658, 55.661]","(37.503, 37.51]",0.0,0.0,0.0,0.0,0.0
38,"(55.658, 55.661]","(37.51, 37.518]",0.0,0.0,0.0,0.0,0.0
39,"(55.658, 55.661]","(37.518, 37.526]",0.0,0.0,0.0,0.0,0.0
40,"(55.658, 55.661]","(37.526, 37.533]",0.0,0.0,0.0,0.0,0.0
41,"(55.658, 55.661]","(37.533, 37.541]",0.0,0.0,0.0,0.0,0.0
42,"(55.658, 55.661]","(37.541, 37.548]",0.0,0.0,0.0,0.0,0.0
43,"(55.658, 55.661]","(37.548, 37.556]",0.0,0.0,0.0,0.0,0.0
44,"(55.658, 55.661]","(37.556, 37.563]",0.0,0.0,0.0,0.0,0.0
45,"(55.658, 55.661]","(37.563, 37.571]",0.0,0.0,0.0,0.0,0.0
46,"(55.658, 55.661]","(37.571, 37.578]",0.0,0.0,0.0,0.0,0.0
47,"(55.658, 55.661]","(37.578, 37.586]",0.0,0.0,0.0,0.0,0.0
48,"(55.658, 55.661]","(37.586, 37.593]",0.0,0.0,0.0,0.0,0.0
49,"(55.658, 55.661]","(37.593, 37.601]",0.0,0.0,0.0,0.0,0.0
50,"(55.658, 55.661]","(37.601, 37.608]",0.0,0.0,0.0,0.0,0.0
51,"(55.658, 55.661]","(37.608, 37.616]",0.0,0.0,0.0,0.0,0.0
52,"(55.658, 55.661]","(37.616, 37.624]",0.0,0.0,0.0,0.0,0.0
53,"(55.658, 55.661]","(37.624, 37.631]",0.0,0.0,0.0,0.0,0.0
54,"(55.658, 55.661]","(37.631, 37.639]",0.0,0.0,0.0,0.0,0.0
55,"(55.658, 55.661]","(37.639, 37.646]",0.0,0.0,0.0,0.0,0.0
56,"(55.658, 55.661]","(37.646, 37.654]",0.0,0.0,0.0,0.0,0.0
57,"(55.658, 55.661]","(37.654, 37.661]",0.0,0.0,0.0,0.0,0.0
58,"(55.658, 55.661]","(37.661, 37.669]",0.0,0.0,0.0,0.0,0.0
59,"(55.658, 55.661]","(37.669, 37.676]",0.0,0.0,0.0,0.0,0.0
60,"(55.658, 55.661]","(37.676, 37.684]",0.0,0.0,0.0,0.0,0.0
61,"(55.658, 55.661]","(37.684, 37.691]",0.0,0.0,0.0,0.0,0.0
62,"(55.658, 55.661]","(37.691, 37.699]",0.0,0.0,0.0,0.0,0.0
63,"(55.658, 55.661]","(37.699, 37.706]",0.0,0.0,0.0,0.0,0.0
64,"(55.658, 55.661]","(37.706, 37.714]",0.0,0.0,0.0,0.0,0.0
65,"(55.658, 55.661]","(37.714, 37.722]",0.0,0.0,0.0,0.0,0.0
66,"(55.658, 55.661]","(37.722, 37.729]",0.0,0.0,0.0,0.0,0.0
67,"(55.658, 55.661]","(37.729, 37.737]",0.0,0.0,0.0,0.0,0.0
68,"(55.658, 55.661]","(37.737, 37.744]",0.0,0.0,0.0,0.0,0.0
69,"(55.658, 55.661]","(37.744, 37.752]",0.0,0.0,0.0,0.0,0.0
70,"(55.658, 55.661]","(37.752, 37.759]",0.0,0.0,0.0,0.0,0.0
71,"(55.658, 55.661]","(37.759, 37.767]",0.0,0.0,0.0,0.0,0.0
72,"(55.661, 55.664]","(37.495, 37.503]",0.0,0.0,0.0,0.0,0.0
73,"(55.661, 55.664]","(37.503, 37.51]",0.0,0.0,0.0,0.0,0.0
74,"(55.661, 55.664]","(37.51, 37.518]",0.0,0.0,0.0,0.0,0.0
75,"(55.661, 55.664]","(37.518, 37.526]",0.0,0.0,0.0,0.0,0.0
76,"(55.661, 55.664]","(37.526, 37.533]",0.0,0.0,0.0,0.0,0.0
77,"(55.661, 55.664]","(37.533, 37.541]",0.0,0.0,0.0,0.0,0.0
78,"(55.661, 55.664]","(37.541, 37.548]",0.0,0.0,0.0,0.0,0.0
79,"(55.661, 55.664]","(37.548, 37.556]",0.0,0.0,0.0,0.0,0.0
80,"(55.661, 55.664]","(37.556, 37.563]",0.0,0.0,0.0,0.0,0.0
81,"(55.661, 55.664]","(37.563, 37.571]",0.0,0.0,0.0,0.0,0.0
82,"(55.661, 55.664]","(37.571, 37.578]",0.0,0.0,0.0,0.0,0.0
83,"(55.661, 55.664]","(37.578, 37.586]",0.0,0.0,0.0,0.0,0.0
84,"(55.661, 55.664]","(37.586, 37.593]",0.0,0.0,0.0,0.0,0.0
85,"(55.661, 55.664]","(37.593, 37.601]",0.0,0.0,0.0,0.0,0.0
86,"(55.661, 55.664]","(37.601, 37.608]",0.0,0.0,0.0,0.0,0.0
87,"(55.661, 55.664]","(37.608, 37.616]",0.0,0.0,0.0,0.0,0.0
88,"(55.661, 55.664]","(37.616, 37.624]",0.0,0.0,0.0,0.0,0.0
89,"(55.661, 55.664]","(37.624, 37.631]",0.0,0.0,0.0,0.0,0.0
90,"(55.661, 55.664]","(37.631, 37.639]",0.0,0.0,0.0,0.0,0.0
91,"(55.661, 55.664]","(37.639, 37.646]",0.0,0.0,0.0,0.0,0.0
92,"(55.661, 55.664]","(37.646, 37.654]",0.0,0.0,0.0,0.0,0.0
93,"(55.661, 55.664]","(37.654, 37.661]",0.0,0.0,0.0,0.0,0.0
94,"(55.661, 55.664]","(37.661, 37.669]",0.0,0.0,0.0,0.0,0.0
95,"(55.661, 55.664]","(37.669, 37.676]",0.0,0.0,0.0,0.0,0.0
96,"(55.661, 55.664]","(37.676, 37.684]",0.0,0.0,0.0,0.0,0.0
97,"(55.661, 55.664]","(37.684, 37.691]",0.0,0.0,0.0,0.0,0.0
98,"(55.661, 55.664]","(37.691, 37.699]",0.0,0.0,0.0,0.0,0.0
99,"(55.661, 55.664]","(37.699, 37.706]",0.0,0.0,0.0,0.0,0.0
100,"(55.661, 55.664]","(37.706, 37.714]",0.0,0.0,0.0,0.0,0.0
101,"(55.661, 55.664]","(37.714, 37.722]",0.0,0.0,0.0,0.0,0.0
102,"(55.661, 55.664]","(37.722, 37.729]",0.0,0.0,0.0,0.0,0.0
103,"(55.661, 55.664]","(37.729, 37.737]",0.0,0.0,0.0,0.0,0.0
104,"(55.661, 55.664]","(37.737, 37.744]",0.0,0.0,0.0,0.0,0.0
105,"(55.661, 55.664]","(37.744, 37.752]",0.0,0.0,0.0,0.0,0.0
106,"(55.661, 55.664]","(37.752, 37.759]",0.0,0.0,0.0,0.0,0.0
107,"(55.661, 55.664]","(37.759, 37.767]",0.0,0.0,0.0,0.0,0.0
108,"(55.664, 55.666]","(37.495, 37.503]",0.0,0.0,0.0,0.0,0.0
109,"(55.664, 55.666]","(37.503, 37.51]",0.0,0.0,0.0,0.0,0.0
110,"(55.664, 55.666]","(37.51, 37.518]",0.0,0.0,0.0,0.0,0.0
111,"(55.664, 55.666]","(37.518, 37.526]",0.0,0.0,0.0,0.0,0.0
112,"(55.664, 55.666]","(37.526, 37.533]",0.0,0.0,0.0,0.0,0.0
113,"(55.664, 55.666]","(37.533, 37.541]",0.0,0.0,0.0,0.0,0.0
114,"(55.664, 55.666]","(37.541, 37.548]",0.0,0.0,0.0,0.0,0.0
115,"(55.664, 55.666]","(37.548, 37.556]",0.0,0.0,0.0,0.0,0.0
116,"(55.664, 55.666]","(37.556, 37.563]",0.0,0.0,0.0,0.0,0.0
117,"(55.664, 55.666]","(37.563, 37.571]",0.0,0.0,0.0,0.0,0.0
118,"(55.664, 55.666]","(37.571, 37.578]",0.0,0.0,0.0,0.0,0.0
119,"(55.664, 55.666]","(37.578, 37.586]",0.0,0.0,0.0,0.0,0.0
120,"(55.664, 55.666]","(37.586, 37.593]",0.0,0.0,0.0,0.0,0.0
121,"(55.664, 55.666]","(37.593, 37.601]",0.0,0.0,0.0,0.0,0.0
122,"(55.664, 55.666]","(37.601, 37.608]",0.0,0.0,0.0,0.0,0.0
123,"(55.664, 55.666]","(37.608, 37.616]",0.0,0.0,0.0,0.0,0.0
124,"(55.664, 55.666]","(37.616, 37.624]",0.0,0.0,0.0,0.0,0.0
125,"(55.664, 55.666]","(37.624, 37.631]",0.0,0.0,0.0,0.0,0.0
126,"(55.664, 55.666]","(37.631, 37.639]",0.0,0.0,0.0,0.0,0.0
127,"(55.664, 55.666]","(37.639, 37.646]",0.0,0.0,0.0,0.0,0.0
128,"(55.664, 55.666]","(37.646, 37.654]",0.0,0.0,0.0,0.0,0.0
129,"(55.664, 55.666]","(37.654, 37.661]",0.0,0.0,0.0,0.0,0.0
130,"(55.664, 55.666]","(37.661, 37.669]",0.0,0.0,0.0,0.0,0.0
131,"(55.664, 55.666]","(37.669, 37.676]",0.0,0.0,0.0,0.0,0.0
132,"(55.664, 55.666]","(37.676, 37.684]",0.0,0.0,0.0,0.0,0.0
133,"(55.664, 55.666]","(37.684, 37.691]",0.0,0.0,0.0,0.0,0.0
134,"(55.664, 55.666]","(37.691, 37.699]",0.0,0.0,0.0,0.0,0.0
135,"(55.664, 55.666]","(37.699, 37.706]",0.0,0.0,0.0,0.0,0.0
