,lat,long,people,weekend_mean,workdays_mean,day_mean,night_mean,metro,metro_dist
0,"(55.655, 55.658]","(37.495, 37.503]",0.0,0.0,0.0,0.0,0.0,Юго-западная,0.016882052600321135
1,"(55.655, 55.658]","(37.503, 37.51]",0.0,0.0,0.0,0.0,0.0,Проспект Вернадского,0.01973162182893905
2,"(55.655, 55.658]","(37.51, 37.518]",0.0,0.0,0.0,0.0,0.0,Беляево,0.01868391019032548
3,"(55.655, 55.658]","(37.518, 37.526]",0.0,0.0,0.0,0.0,0.0,Беляево,0.013970272008804595
4,"(55.655, 55.658]","(37.526, 37.533]",0.0,0.0,0.0,0.0,0.0,Калужская,0.009766191683556033
5,"(55.655, 55.658]","(37.533, 37.541]",0.0,0.0,0.0,0.0,0.0,Калужская,0.002382960343772882
6,"(55.655, 55.658]","(37.541, 37.548]",0.0,0.0,0.0,0.0,0.0,Калужская,0.0053365250866118695
7,"(55.655, 55.658]","(37.548, 37.556]",0.0,0.0,0.0,0.0,0.0,Новые черемушки,0.0126081441933296
8,"(55.655, 55.658]","(37.556, 37.563]",0.0,0.0,0.0,0.0,0.0,Новые черемушки,0.013515372728852155
9,"(55.655, 55.658]","(37.563, 37.571]",0.0,0.0,0.0,0.0,0.0,Новые черемушки,0.01785679982527157
10,"(55.655, 55.658]","(37.571, 37.578]",0.0,0.0,0.0,0.0,0.0,Каховская,0.022941464643741274
11,"(55.655, 55.658]","(37.578, 37.586]",0.0,0.0,0.0,0.0,0.0,Каховская,0.015548659106174648
12,"(55.655, 55.658]","(37.586, 37.593]",0.0,0.0,0.0,0.0,0.0,Каховская,0.008349299371805593
13,"(55.655, 55.658]","(37.593, 37.601]",0.0,0.0,0.0,0.0,0.0,Каховская,0.0031876009788000797
14,"(55.655, 55.658]","(37.601, 37.608]",0.0,0.0,0.0,0.0,0.0,Cевастопольская,0.007355011896662273
15,"(55.655, 55.658]","(37.608, 37.616]",0.0,0.0,0.0,0.0,0.0,Нахимовский проспект,0.00845319466236846
16,"(55.655, 55.658]","(37.616, 37.624]",0.0,0.0,0.0,0.0,0.0,Варшавская,0.0028181021982889008
17,"(55.655, 55.658]","(37.624, 37.631]",0.0,0.0,0.0,0.0,0.0,Варшавская,0.007182736247417175
18,"(55.655, 55.658]","(37.631, 37.639]",0.0,0.0,0.0,0.0,0.0,Каширская,0.012606696633134138
19,"(55.655, 55.658]","(37.639, 37.646]",0.0,0.0,0.0,0.0,0.0,Каширская,0.005429438276658515
20,"(55.655, 55.658]","(37.646, 37.654]",0.0,0.0,0.0,0.0,0.0,Каширская,0.0035396044976922733
21,"(55.655, 55.658]","(37.654, 37.661]",0.0,0.0,0.0,0.0,0.0,Каширская,0.010396095420880679
22,"(55.655, 55.658]","(37.661, 37.669]",0.0,0.0,0.0,0.0,0.0,Каширская,0.01778001124859247
23,"(55.655, 55.658]","(37.669, 37.676]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.02301158186652976
24,"(55.655, 55.658]","(37.676, 37.684]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.026992274820771232
25,"(55.655, 55.658]","(37.684, 37.691]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.03225109145440024
26,"(55.655, 55.658]","(37.691, 37.699]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.038264642948813
27,"(55.655, 55.658]","(37.699, 37.706]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.04472955287055986
28,"(55.655, 55.658]","(37.706, 37.714]",0.0,0.0,0.0,0.0,0.0,Марьино,0.037985905280771184
29,"(55.655, 55.658]","(37.714, 37.722]",0.0,0.0,0.0,0.0,0.0,Марьино,0.030059424478848715
30,"(55.655, 55.658]","(37.722, 37.729]",0.0,0.0,0.0,0.0,0.0,Марьино,0.022675294926417098
31,"(55.655, 55.658]","(37.729, 37.737]",0.0,0.0,0.0,0.0,0.0,Марьино,0.015403538554493314
32,"(55.655, 55.658]","(37.737, 37.744]",0.0,0.0,0.0,0.0,0.0,Марьино,0.00853633410779789
33,"(55.655, 55.658]","(37.744, 37.752]",0.0,0.0,0.0,0.0,0.0,Марьино,0.004579192068471119
34,"(55.655, 55.658]","(37.752, 37.759]",16.043583758220986,14.712580194079328,16.575985183877645,15.734119761311682,16.97197574894887,Братиславская,0.006619486384904972
35,"(55.655, 55.658]","(37.759, 37.767]",0.0,0.0,0.0,0.0,0.0,Братиславская,0.01300259974005456
36,"(55.658, 55.661]","(37.495, 37.503]",0.0,0.0,0.0,0.0,0.0,Юго-западная,0.01565770417398354
37,"(55.658, 55.661]","(37.503, 37.51]",0.0,0.0,0.0,0.0,0.0,Проспект Вернадского,0.01674983283499335
38,"(55.658, 55.661]","(37.51, 37.518]",0.0,0.0,0.0,0.0,0.0,Проспект Вернадского,0.019152203528579378
39,"(55.658, 55.661]","(37.518, 37.526]",0.0,0.0,0.0,0.0,0.0,Беляево,0.016760325175843332
40,"(55.658, 55.661]","(37.526, 37.533]",0.0,0.0,0.0,0.0,0.0,Калужская,0.010460329822715069
41,"(55.658, 55.661]","(37.533, 37.541]",0.0,0.0,0.0,0.0,0.0,Калужская,0.0044405517675191455
42,"(55.658, 55.661]","(37.541, 37.548]",0.0,0.0,0.0,0.0,0.0,Калужская,0.006520621136062197
43,"(55.658, 55.661]","(37.548, 37.556]",0.0,0.0,0.0,0.0,0.0,Новые черемушки,0.009666710919430601
44,"(55.658, 55.661]","(37.556, 37.563]",0.0,0.0,0.0,0.0,0.0,Новые черемушки,0.010823368237284013
45,"(55.658, 55.661]","(37.563, 37.571]",0.0,0.0,0.0,0.0,0.0,Новые черемушки,0.0159168244320237
46,"(55.658, 55.661]","(37.571, 37.578]",0.0,0.0,0.0,0.0,0.0,Профсоюзная,0.021557237763681267
47,"(55.658, 55.661]","(37.578, 37.586]",0.0,0.0,0.0,0.0,0.0,Каховская,0.016426831709129862
48,"(55.658, 55.661]","(37.586, 37.593]",0.0,0.0,0.0,0.0,0.0,Каховская,0.009888923096074705
49,"(55.658, 55.661]","(37.593, 37.601]",0.0,0.0,0.0,0.0,0.0,Каховская,0.006183914617788128
50,"(55.658, 55.661]","(37.601, 37.608]",0.0,0.0,0.0,0.0,0.0,Нахимовский проспект,0.005310037664644219
51,"(55.658, 55.661]","(37.608, 37.616]",0.0,0.0,0.0,0.0,0.0,Нахимовский проспект,0.006074248924757916
52,"(55.658, 55.661]","(37.616, 37.624]",0.0,0.0,0.0,0.0,0.0,Варшавская,0.005751669322901758
53,"(55.658, 55.661]","(37.624, 37.631]",0.0,0.0,0.0,0.0,0.0,Варшавская,0.008759663235534171
54,"(55.658, 55.661]","(37.631, 37.639]",0.0,0.0,0.0,0.0,0.0,Каширская,0.01349847398782296
55,"(55.658, 55.661]","(37.639, 37.646]",0.0,0.0,0.0,0.0,0.0,Каширская,0.007263525314893729
56,"(55.658, 55.661]","(37.646, 37.654]",0.0,0.0,0.0,0.0,0.0,Каширская,0.005984045454384587
57,"(55.658, 55.661]","(37.654, 37.661]",0.0,0.0,0.0,0.0,0.0,Каширская,0.011461186675039967
58,"(55.658, 55.661]","(37.661, 37.669]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.018063302577324327
59,"(55.658, 55.661]","(37.669, 37.676]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.02031828979023585
60,"(55.658, 55.661]","(37.676, 37.684]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.024736266897008564
61,"(55.658, 55.661]","(37.684, 37.691]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.03038803876527884
62,"(55.658, 55.661]","(37.691, 37.699]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.036708076767928685
63,"(55.658, 55.661]","(37.699, 37.706]",0.0,0.0,0.0,0.0,0.0,Печатники,0.04265349223685698
64,"(55.658, 55.661]","(37.706, 37.714]",0.0,0.0,0.0,0.0,0.0,Печатники,0.03834801689787351
65,"(55.658, 55.661]","(37.714, 37.722]",0.0,0.0,0.0,0.0,0.0,Марьино,0.030659240042759946
66,"(55.658, 55.661]","(37.722, 37.729]",0.0,0.0,0.0,0.0,0.0,Марьино,0.023464632961117515
67,"(55.658, 55.661]","(37.729, 37.737]",0.0,0.0,0.0,0.0,0.0,Марьино,0.016543548591512268
68,"(55.658, 55.661]","(37.737, 37.744]",0.0,0.0,0.0,0.0,0.0,Марьино,0.010454137936717647
69,"(55.658, 55.661]","(37.744, 37.752]",0.0,0.0,0.0,0.0,0.0,Братиславская,0.003392285365350617
70,"(55.658, 55.661]","(37.752, 37.759]",0.0,0.0,0.0,0.0,0.0,Братиславская,0.004925200503528491
71,"(55.658, 55.661]","(37.759, 37.767]",0.0,0.0,0.0,0.0,0.0,Братиславская,0.012227330043802772
72,"(55.661, 55.664]","(37.495, 37.503]",0.0,0.0,0.0,0.0,0.0,Проспект Вернадского,0.014697853584800222
73,"(55.661, 55.664]","(37.503, 37.51]",0.0,0.0,0.0,0.0,0.0,Проспект Вернадского,0.01377595368750128
74,"(55.661, 55.664]","(37.51, 37.518]",0.0,0.0,0.0,0.0,0.0,Проспект Вернадского,0.016614057300975194
75,"(55.661, 55.664]","(37.518, 37.526]",0.0,0.0,0.0,0.0,0.0,Калужская,0.01853802848200788
76,"(55.661, 55.664]","(37.526, 37.533]",0.0,0.0,0.0,0.0,0.0,Калужская,0.011893632750341962
77,"(55.661, 55.664]","(37.533, 37.541]",0.0,0.0,0.0,0.0,0.0,Калужская,0.007194338051554292
78,"(55.661, 55.664]","(37.541, 37.548]",0.0,0.0,0.0,0.0,0.0,Калужская,0.008634726399839525
79,"(55.661, 55.664]","(37.548, 37.556]",0.0,0.0,0.0,0.0,0.0,Новые черемушки,0.006776820788532635
80,"(55.661, 55.664]","(37.556, 37.563]",0.0,0.0,0.0,0.0,0.0,Новые черемушки,0.008344177610759356
81,"(55.661, 55.664]","(37.563, 37.571]",0.0,0.0,0.0,0.0,0.0,Новые черемушки,0.014346612840664371
82,"(55.661, 55.664]","(37.571, 37.578]",0.0,0.0,0.0,0.0,0.0,Профсоюзная,0.019010378744252144
83,"(55.661, 55.664]","(37.578, 37.586]",0.0,0.0,0.0,0.0,0.0,Каховская,0.017774161020991178
84,"(55.661, 55.664]","(37.586, 37.593]",0.0,0.0,0.0,0.0,0.0,Каховская,0.011994615458618404
85,"(55.661, 55.664]","(37.593, 37.601]",0.0,0.0,0.0,0.0,0.0,Каховская,0.009182635787187768
86,"(55.661, 55.664]","(37.601, 37.608]",0.0,0.0,0.0,0.0,0.0,Нахимовский проспект,0.0034112314491939228
87,"(55.661, 55.664]","(37.608, 37.616]",0.0,0.0,0.0,0.0,0.0,Нахимовский проспект,0.004509600869251306
88,"(55.661, 55.664]","(37.616, 37.624]",0.0,0.0,0.0,0.0,0.0,Варшавская,0.008730503994616747
89,"(55.661, 55.664]","(37.624, 37.631]",0.0,0.0,0.0,0.0,0.0,Варшавская,0.010948593516976452
90,"(55.661, 55.664]","(37.631, 37.639]",0.0,0.0,0.0,0.0,0.0,Каширская,0.01494954179899812
91,"(55.661, 55.664]","(37.639, 37.646]",0.0,0.0,0.0,0.0,0.0,Каширская,0.009697360465619543
92,"(55.661, 55.664]","(37.646, 37.654]",0.0,0.0,0.0,0.0,0.0,Каширская,0.008780022779025102
93,"(55.661, 55.664]","(37.654, 37.661]",0.0,0.0,0.0,0.0,0.0,Каширская,0.013139208499760269
94,"(55.661, 55.664]","(37.661, 37.669]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.015085850986933888
95,"(55.661, 55.664]","(37.669, 37.676]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.017723794740404916
96,"(55.661, 55.664]","(37.676, 37.684]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.022653540562129447
97,"(55.661, 55.664]","(37.684, 37.691]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.02871816324210328
98,"(55.661, 55.664]","(37.691, 37.699]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.03533812247418004
99,"(55.661, 55.664]","(37.699, 37.706]",0.0,0.0,0.0,0.0,0.0,Печатники,0.040375740240887865
100,"(55.661, 55.664]","(37.706, 37.714]",0.0,0.0,0.0,0.0,0.0,Печатники,0.035797351857359855
101,"(55.661, 55.664]","(37.714, 37.722]",0.0,0.0,0.0,0.0,0.0,Марьино,0.03153425121989647
102,"(55.661, 55.664]","(37.722, 37.729]",0.0,0.0,0.0,0.0,0.0,Марьино,0.0245969307028322
103,"(55.661, 55.664]","(37.729, 37.737]",0.0,0.0,0.0,0.0,0.0,Братиславская,0.017942898316601823
104,"(55.661, 55.664]","(37.737, 37.744]",0.0,0.0,0.0,0.0,0.0,Братиславская,0.01047366220574704
105,"(55.661, 55.664]","(37.744, 37.752]",0.0,0.0,0.0,0.0,0.0,Братиславская,0.00315398161059768
106,"(55.661, 55.664]","(37.752, 37.759]",0.0,0.0,0.0,0.0,0.0,Братиславская,0.004764199827880193
107,"(55.661, 55.664]","(37.759, 37.767]",0.0,0.0,0.0,0.0,0.0,Братиславская,0.012163371243207956
108,"(55.664, 55.666]","(37.495, 37.503]",0.0,0.0,0.0,0.0,0.0,Проспект Вернадского,0.012414785539840956
109,"(55.664, 55.666]","(37.503, 37.51]",0.0,0.0,0.0,0.0,0.0,Проспект Вернадского,0.011308266887556177
110,"(55.664, 55.666]","(37.51, 37.518]",0.0,0.0,0.0,0.0,0.0,Проспект Вернадского,0.014633075548226578
111,"(55.664, 55.666]","(37.518, 37.526]",0.0,0.0,0.0,0.0,0.0,Калужская,0.019598686180448747
112,"(55.664, 55.666]","(37.526, 37.533]",0.0,0.0,0.0,0.0,0.0,Калужская,0.013487345921269468
113,"(55.664, 55.666]","(37.533, 37.541]",0.0,0.0,0.0,0.0,0.0,Калужская,0.009602525709417253
114,"(55.664, 55.666]","(37.541, 37.548]",0.0,0.0,0.0,0.0,0.0,Новые черемушки,0.01043433275298175
115,"(55.664, 55.666]","(37.548, 37.556]",0.0,0.0,0.0,0.0,0.0,Новые черемушки,0.004480546841619754
116,"(55.664, 55.666]","(37.556, 37.563]",0.0,0.0,0.0,0.0,0.0,Новые черемушки,0.006616290501478783
117,"(55.664, 55.666]","(37.563, 37.571]",0.0,0.0,0.0,0.0,0.0,Новые черемушки,0.01341548731876619
118,"(55.664, 55.666]","(37.571, 37.578]",0.0,0.0,0.0,0.0,0.0,Профсоюзная,0.017001308773150398
119,"(55.664, 55.666]","(37.578, 37.586]",0.0,0.0,0.0,0.0,0.0,Каховская,0.01918517135706918
120,"(55.664, 55.666]","(37.586, 37.593]",0.0,0.0,0.0,0.0,0.0,Каховская,0.01400074283743949
121,"(55.664, 55.666]","(37.593, 37.601]",0.0,0.0,0.0,0.0,0.0,Нахимовский проспект,0.010741810834303214
122,"(55.664, 55.666]","(37.601, 37.608]",0.0,0.0,0.0,0.0,0.0,Нахимовский проспект,0.0034038948279859313
123,"(55.664, 55.666]","(37.608, 37.616]",0.0,0.0,0.0,0.0,0.0,Нахимовский проспект,0.004504053729694157
